Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
System Idle Process	43.83	52 K	8 K	0		
System	1.92	156 K	140 K	4		
 Interrupts	0.43	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		524 K	1,220 K	292		
 Memory Compression		112 K	19,380 K	1576		
csrss.exe	< 0.01	1,644 K	4,888 K	400		
wininit.exe		1,616 K	6,552 K	476		
 services.exe		4,624 K	9,024 K	600		
  svchost.exe		988 K	3,968 K	732	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.02	9,460 K	24,248 K	812	Host Process for Windows Services	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	21,728 K	55,880 K	4468	Windows Shell Experience Host	Microsoft Corporation
   SearchUI.exe	Suspended	45,432 K	89,240 K	4672	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		3,176 K	17,536 K	4712	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		5,632 K	15,624 K	4884	Runtime Broker	Microsoft Corporation
   smartscreen.exe		23,968 K	38,284 K	5200	Windows Defender SmartScreen	Microsoft Corporation
   RuntimeBroker.exe		3,496 K	17,032 K	5304	Runtime Broker	Microsoft Corporation
   ApplicationFrameHost.exe		13,256 K	30,052 K	3440	Application Frame Host	Microsoft Corporation
   MicrosoftEdge.exe		33,748 K	92,816 K	3272	Microsoft Edge	Microsoft Corporation
   browser_broker.exe		6,332 K	28,540 K	5592	Browser_Broker	Microsoft Corporation
   RuntimeBroker.exe		15,312 K	33,324 K	748	Runtime Broker	Microsoft Corporation
   MicrosoftEdgeCP.exe		9,864 K	29,552 K	6224	Microsoft Edge Content Process	Microsoft Corporation
   MicrosoftEdgeCP.exe		31,380 K	63,852 K	6492	Microsoft Edge Content Process	Microsoft Corporation
   RuntimeBroker.exe		1,920 K	11,608 K	6988	Runtime Broker	Microsoft Corporation
   MicrosoftEdgeCP.exe		5,740 K	25,876 K	7120	Microsoft Edge Content Process	Microsoft Corporation
   MicrosoftEdgeCP.exe	< 0.01	23,172 K	58,056 K	7868	Microsoft Edge Content Process	Microsoft Corporation
   MicrosoftEdgeCP.exe	0.57	78,724 K	138,488 K	7412	Microsoft Edge Content Process	Microsoft Corporation
   MicrosoftEdgeCP.exe		5,716 K	25,712 K	7500	Microsoft Edge Content Process	Microsoft Corporation
   WmiPrvSE.exe		2,496 K	8,732 K	6456		
   WinStore.App.exe	Suspended	24,160 K	59,144 K	7356	Store	Microsoft Corporation
   RuntimeBroker.exe		8,448 K	26,192 K	4248	Runtime Broker	Microsoft Corporation
   TiWorker.exe		5,960 K	13,292 K	208		
   WmiPrvSE.exe	0.77	3,588 K	9,980 K	312		
  svchost.exe	0.11	6,872 K	12,532 K	860	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.08	2,020 K	7,192 K	904	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		6,020 K	14,636 K	304	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe		7,332 K	18,128 K	3652	Host Process for Windows Tasks	Microsoft Corporation
   taskhostw.exe		4,476 K	17,252 K	2120	Host Process for Windows Tasks	Microsoft Corporation
  svchost.exe		1,412 K	5,532 K	424	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,340 K	9,820 K	360	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,960 K	11,232 K	876	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,624 K	10,632 K	924	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	8,760 K	17,760 K	1096	Host Process for Windows Services	Microsoft Corporation
